kor,eng
그 가게는 열 시에 문을 연다.,The store opens at 10 A.M.
맘에 들어? 가격은 어때?,Do you like it? What's the price?
우리 집은 학교에서 가깝다.,My house is near my school.
나는 가끔 맥주를 마신다.,I sometimes drink beer.
가능하다면 내일 오세요.,"Come tomorrow, if possible."
아버지는 아침 일찍 서울로 가셨다.,My father went to Seoul early in the morning.
나는 그녀에게 운전을 가르쳤다.,I taught her how to drive.
가방 속은 봤어?,Have you looked inside your bag?
기름은 물보다 가볍다.,Oil is lighter than water.
내가 제일 좋아하는 가수는 조용필이다.,My favorite singer is Yongpil Jo.
어젯밤부터 가슴이 아파요.,My chest was hurting since last night.
거기 가운데 앉아라.,"Sit there, in the middle."
가을에는 책을 읽기 좋다.,It is good to read books in the fall.
스키를 가장 좋아해요.,I like skiing the most.
요즘은 거의 모든 가정에 인터넷이 연결되어 있어요. ,Almost every home is hooked up to the internet now.
수건 가져왔니?,Did you bring towels?
가족 모두가 감기에 걸렸다.,The whole family has caught a cold.
그 가게는 여러 가지 물건을 팔아.,They sell various kinds of things at the shop.
그녀는 아름다운 목소리를 가지고 있다.,She has a beautiful voice.
나머지 세 강의는 각각 한 시간씩이야. ,The other three classes are one hour each.
나는 어렸을 때는 간호사가 되고 싶었어.,I wanted to be a nurse when I was younger.
갈비 좋아하세요?,Do you like ribs?
감기에 걸린 것 같아요.,I think I have a cold.
감사합니다.,Thank you.
그 사람을 보니까 이상한 감정이 들더라고.,I got a strange feeling when I saw him.
갑자기 날씨가 추워지고 있어.,It's getting cold suddenly.
올해 채소 값이 올랐다.,The price of vegetables rose this year.
한강은 한국에서 가장 큰 강이다.,The Han river is the biggest river in Korea.
선생님은 결과보다 과정을 강조하셨어.,My teacher emphasized process over results.
우와!? 저 선수는 서브가 아주 강한데!,Wow! she has a very strong serve.
우리는 어렸을 때 같은 학교에 다녔다.,We went to the same school as children.
같이 합시다.,Let's do it together.
개를 기르고 싶어요.,I'd like to raise a dog.
이 사탕은 한 개에 100(백)원이다.,These candies cost a hundred won a piece.
혜안과 나는 결혼한 지 3개월 되었다.,Hyean and I have been married for three months.
거기에서 보자.,See you there.
이 거리에는 차가 많다.,There are many cars in this street.
거울을 보세요.,Look at yourself in the mirror.
거의 끝나갑니다. ,It's almost finished.
거짓말이 아니에요.,I'm not telling a lie.
오늘 걱정이 있어 보여요.,You look worried today.
술은 건강에 해롭다.,Alcohol is bad for your health.
이 건물 뒤에 있습니다. ,It is at the back of this building.
왜 그렇게 빨리 걷는 거야? ,Why are you walking so fast?
옷을 옷걸이에 걸어라.,Hang clothes on a hanger.
벽에 그림이 걸려 있다.,A picture is hanging on the wall.
걸어갈래요? 아니면 차로 갈래요? ,Would you like to go on foot or by car?
우리가 얼마나 걸어온 거죠? ,How far have we come on foot?
한 남자가 검은색 가방을 들고 있었다.,A man was carrying a black bag.
같은 색으로 다른 것 좀 보여주세요.,Show me another one in the same color.
컴퓨터 게임 좋아하세요? ,Do you like computer games?
한국의 겨울은 아주 추워요.,Winter in Korea sure is cold. 
옆집 사는 부부 결국 이혼했어요.,The married couple next door finally got divorced.
아직 결정하지 못했어요.,I haven't decided yet.
나랑 결혼해 줄래?,Will you marry me?
그 남자 결혼식은 어디에서 하죠?,Where is he going to have the wedding ceremony?
그 축구 경기는 무승부로 끝났어.,The soccer game ended in a tie.
"어떤 경우에, 저는 성급하게 결론을 내립니다.","In some cases, I tend to jump to conclusions."
경찰에 전화는 했어?,Did you call the police?
경치가 정말 아름다워요.,The scenery is really beautiful.
좋은 경험이 될 거야. ,It would be a good experience.
냉장고에 계란이 몇 개 있어요? ,How many eggs are there in the refrigerator?
계속 코피가 나요.,My nose bleeds continuously.
안녕히 계세요.,Goodbye.
어떤 계절을 제일 좋아하세요?,What season do you like best?
특별한 계획 있으세요?,Any special plans?
고기 먹으러 가자.,Let's go have some meat.
나는 고등학교 때 제2외국어로 일본어를 배웠다.,I learned Japanese as a second foreign language in high school.
나는 내년에 고등학생이 된다.,I'll be in high school next year.
고마워요.,Thank you.
내 생각에는 고양이인 것 같아.,I think it is the cat.
나는 고통을 참을 수 없었다.,I couldn’t endure the pain.
나도 정말 배가 고파.,"I'm really hungry, too."
많은 한국인들이 추석에 고향으로 간다.,Many Koreans return to their hometown during Chusok.
곧 갈게요.,I'll be there soon.
이 도시는 살기 좋은 곳이다.,This city is a good place to live.
"미안, 내가 공을 너무 세게 던졌어.","Sorry, I threw the ball too hard."
"와, 공부할 게 많네요.",Wow! There's a lot to study.
그 공원은 얼마나 커요?,How big is the park?
나는 구두 공장에서 일했어.,I worked in a shoe factory.
요즘은 공중전화를 보기가 힘들어.,"These days, it is hard to find a pay phone."
공책 좀 빌려줄래?,Can I borrow your notebook?
인천 공항까지 좀 태워주실래요?,Can you give me a ride to Incheon airport?
3월1일은 한국에서 공휴일이다.,March 1 is a national holiday in Korea.
오늘 몇 과 할 차례지? ,What lesson are we on today?
토마토는 과일입니까? 아니면 채소입니까?,Is the tomato a fruit or a vegetable?
과자 내 거 좀 남겨둬.,Leave some cookies for me.
우리 관계도 이제 끝이야. ,Our relationship is over.
괜찮아요.,I'm OK.
영어 교과서 10페이지를 펴세요.,Open your English textbook to page 10.
나는 역사 교수가 되고 싶어.,I want to be a history professor.
"이런, 지갑을 교실에 두고 왔어.","Oops, I left my wallet in the classroom."
대중교통을 이용하는 게 좋을 거야.,It is better to use public transportation.
매주 일요일 아침에 교회에 갑니다.,I go to church every Sunday morning.
그 사람은 가게를 구경만 하고 있었다.,The man was looking around the shop.
구두 닦아주세요.,Please shine my shoes.
하늘에 구름 한 점 없다.,There are no clouds in the sky.
한국에는 군인이 몇 명이나 있습니까?,How many soldiers are there in Korea?
책은 몇 권이나 내셨어요? ,How many books have you published?
왜 귀를 막는 거야?,Why are you plugging your ears?
너는 웃을 때가 귀여워.,You're cute when you smile.
그 책 이리 줘봐.,Give me that book.
그가 올까?,Will he come?
그것 재미있겠다.,It sounds fun.
그곳 날씨는 어때요? ,How's the weather over there?
그날 밤 너는 뭘 하고 있었어?,What were you doing that night?
그냥 친구 사이에요. ,We're just friends.
그대로 내버려둬라.,Leave it as it is.
오랜만이네! 그동안 어떻게 지냈어? ,Long time no see! How have you been?
그때 이후로 그녀를 본 적이 없다. ,I have not seen her since then.
"같이 갈래? - 어, 그래.","Why not come along? - Oh, OK."
그 여자애는 키가 작아. 그래도 나보다는 커.,"She is short, but still taller than me."
그래서 넌 그때 뭐라고 했니? ,So what did you say at that time?
나 늦을 거야. 그러니까 기다리지 말고 자.,I'll be back late. So don't wait up for me.
그러면 우리 금요일에 가요. ,"Well then, let's go there on Friday."
그런 건 아무도 못 해.,Nobody can do such a thing.
그런데 넌 뭐 하러 온 거야?,"By the way, what brings you here?"
그럼 거기서 보자.,Then I'll see you there.
그렇습니다.,"Yes, it is."
그렇지만 당신한테 잘 어울려요. ,"It looks really good on you, though."
6명씩 그룹으로 하세요.,Work in groups of six.
한 그릇에 5천 원입니다.,"This costs 5,000 won per bowl."
"우유, 버터 그리고 잼이 필요해.","We need milk, butter and jam."
이거 어떻게 그렸어?,How did you draw this?
엄마가 나한테 그림책을 사 주셨어.,My mom bought me a picture book.
그만 울어라.,Stop crying.
그분이 너를 아니?,Does he know you?
그쪽으로 가는 버스가 있나요?,Is there a bus going that way?
극장 가고 싶어.,I want to go to the movie theater.
이 근처에 사니?,Do you live in this neighborhood?
말하고 글 중에 어느 것이 더 중요한가요?,Which one is more important between speaking and writing?
이 기계 고장 난 것 같아.,This machine seems to be broken.
여기서 기다릴게.,I'll wait here.
우리 엄마는 혼자서 두 아이를 길렀다.,My mom raised two children by herself.
건강한 생활의 기본은 무엇인가요?,What is the basics of a healthy life?
그럴 기분이 아니야.,I'm not in the mood.
기숙사 생활은 어때?,How's life in your dormitory?
그것은 내게 고통스러운 기억이다.,It's a painful memory for me.
방금 기차를 놓쳤어.,I just missed train.
한 번 더 기회를 주세요.,"Give me another chance, please."
길 건너자.,Let's cross the street.
겨울에는 낮보다 밤이 길다.,"In the winter, night is longer than day."
그는 치즈 김밥을 주문했다.,He ordered cheese gimbap.
난 다른 무엇보다 김치가 좋아.,I love Kimchi more than anything else.
물이 이렇게 깊은 줄 몰랐어요.,I didn't know that the water was so deep.
사과 좀 깎아 줘.,Please peel me an apple.
이 방이 깨끗하다고 생각해?,Do you think this room is clean?
나는 지갑에서 돈을 꺼내는 척했어.,I pretended to take out some money from my purse.
꼭 갈게.,I'll be there for sure.
한 시간 뒤에 꽃에 물을 줘라.,Water the flowers in an hour.
어젯밤 피자 먹는 꿈을 꾸었다.,I had a dream about eating pizza last night.
불 껐니?,Did you put out the fire? (or Did you switch off the light?)
그 건물은 이 길의 끝에 있습니다.,The building is at the end of this street.
방학이 내일 끝나.,School vacation ends tomorrow.
오늘 안으로 일을 다 끝내야 해.,We have to finish all the work today.
누구세요? - 나예요.,Who's there? - It's me.
점심 먹으러 나가자.,Let's go out for lunch.
그는 맨손으로 사과를 둘로 나누었다.,He split the apple into two with his bare hands.
앞에 사고가 난 것 같아요.,I guess an accident has happened up ahead.
어느 나라에 가고 싶어?,which country do you want to visit?
그 사람 나무 아래에 앉아 있어.,He is sitting under the tree.
그거 어때? - 나쁘지 않네.,How's that? - Not bad.
방에서 나오지 마.,Don't come out of your room.
그 여자 나이보다 어려 보여요.,She looks younger than her age.
나중에 보자.,See you later.
이전 여자친구가 어젯밤 꿈에 나타났다.,My ex-girlfriend appeared in my dream last night.
그녀의 눈이 진짜 마음을 나타내고 있었다.,Her eyes expressed her true feelings.
내일은 특별한 날이야.,Tomorrow is a special day. 
높이 나는 새가 멀리 본다.,"The highter a bird flies, the farther it can see."
날씨 어때?,How is the weather? 
오늘 날짜가 어떻게 되죠?,What's the date today? 
메시지 남겨 주세요.,Leave a message.
남녀관계는 아무도 모른다.,No one can know the relationship between a man and a woman.
먹을 게 하나도 안 남았어.,There's no food left over.
얘가 내 남동생이야.,This is my younger brother.
일반적으로 여성이 남성에 비해 오래 산다.,"Generally speaking, a woman will live longer than a man."
그녀는 가정적인 남자를 찾고 있다.,She is looking for a family man.
어느 쪽이 남쪽입니까?,Which way is south?
혜안은 완벽한 남편을 원한다.,Hyean wants a perfect husband.
교실에는 남학생이 거의 없었어.,There were few male students in the class.
박쥐들은 낮에 잠을 잔다.,Bats sleep during the day.
니 점수는 너무 낮아.,Your grades are too low.
아내가 어젯밤 아들을 낳았어.,My wife gave birth to a son last night.
나 내년에 결혼할 거야.,I'm going to get married next year.
답안지를 내세요.,Hand in your answer sheet.
조심해서 계단을 내려가라.,Go down the stairs carefully.
산은 내려오는 것이 더 어렵다.,It is more difficult to come down the mountain.
어제 눈 내리는 거 봤어?,Did you see the snow fall yesterday?
내일은 월요일이야.,Tomorrow is Monday. 
이게 무슨 냄새죠?,What is this smell?
저 식당은 냉면으로 유명해.,That restaurant is famous for naengmyeon.
김치냉장고가 필요해.,I need a refrigerator for kimchi.
항상 너와 함께 있을게.,I'll always be with you.
그 옷은 나한테 너무 작아.,The dress is too small for me.
그녀는 넓은 집에서 살고 싶어한다.,She wants to live in a large house.
주머니에 손을 넣지 마라.,Don’t  put  your hand in your pocket.
어제 학교 갔었니? - 네.,Did you go to school yesterday? - Yes.
다른 넥타이를 매는 게 어때?,How about wearing another necktie?
나는 일 년에 두 번 해외에 간다.,I go abroad twice a year.
이 노란색 모자는 너와 잘 어울린다.,This yellow hat suits you well.
우리는 밤새 춤추고 노래했다.,We sang and danced  all night long.
사람들 앞에서 웃으려고 노력했다.,I made an effort to smile in front of others.
이 강의에서는 노트에 적어도 됩니다.,You can take notes in this lecture.
놀이터에서 놀자!,Let's play at the playground.
나는 그녀의 갑작스러운 죽음에 놀랐다.,I was surprised by her sudden death.
한국의 전통적인 놀이에는 뭐가 있나요? ,What traditional Korean games are there?
농담하지 마세요!,No kidding!
이 빌딩 정말 높네!,This building is really high!
이 상자 어디에 놓을까요?,Where do I put this box?
누구세요?,Who are you?
누나는 엄마랑 닮았다.,My older sister looks like my mom.
길에서 그 사람과 내 눈이 마주쳤어.,His eyes met mine on the street.
눈이 녹아서 길이 굉장히 미끄러워졌어.,"As the snow melted, the roads became very slippery."
선생님은 학생들이 떠나자 기쁨의 눈물을 흘리셨다.,The teacher cried tears of joy after the students left.
그 사람은 침대에 누워 책을 읽고 있었다.,He was lying on the bed reading a book.
대단한 뉴스라는 게 뭐야?,What's the big news?
나는 갑자기 가슴에 심한 통증을 느꼈다.,I suddenly felt a sharp pain in my chest.
한국은 늘 덥나요?,Is it always hot in Korea?
나 이 스웨터 다시는 안 입을 거야. 늘어났어.,I won't wear this sweater again. It has stretched.
특별한 능력이 있는 사람만이 이 일을 할 수 있다.,Only one with special abilities can do this work.
서둘러. 우리 늦겠다.,Hurry up. We are going to be late.
모두 다 왔을 때 파티는 거의 다 끝나 있었다.,The party was almost finished when we all arrived.
일본을 하루 만에 다녀올 수 있나요?,Is it possible to go to Japan and get back in a day?
어렸을 때는 목욕탕에 잘 다녔다.,"When I was young, I used to go to a public bath."
"그들은 쌍둥이지만, 성격은 완전히 다르다.","Although they are twins, their personalities are totally different."
다리를 꼬고 저기에 앉아 있는 사람이 누구예요?,Who is the girl sitting with her legs crossed over there?
다리를 건너자.,Let's cross the bridge.
절대로 다시 그 일을 하지 않을 거야.,I'll never do that again.
그들은 다양한 서비스를 제공한다.,They offer various services.
다음 비행기는 언제 있어요?,When is the next flight?
어쩌다 다치셨어요?,How did you get hurt?
그 선수는 수건으로 얼굴의 땀을 닦았다.,The player wiped the sweat off his face with a towel.
저는 심지어 이 기본적인 단어들도 몰라요.,I don't even know these basic words.
창문 좀 닫아라.,Close the window.
이번 달에는 언제 보름달을 볼 수 있어요?,When can we see a full moon this month?
이 케이크는 맛이 달다.,This cake tastes sweet.
세상이 지난 10년 동안 아주 많이 달라졌다.,The world has changed a lot during the last ten years.
한 달에 500달러요.,Five hundred dollars a month.
엄마 생일을 달력에 표시해 두세요.,Mark your mother's birthday on the calendar.
닭이 먼저예요? 달걀이 먼저예요?,"Which came first, the chicken or the egg?"
인터넷으로 닭고기 스프 요리법 좀 찾아봐.,Please look up a recipe for chicken soup on the internet.
이 물건들을 가방에 담아.,Put this item in a bag.
하루에 담배를 얼마나 피우세요?,How many cigarettes do you smoke a day?
"나한테 묻지 마, 그냥 대답해.","Don't ask me, just answer."
그 기사의 대부분은 거짓이야.,Most of the article is false.
미국 사람들은 젓가락 대신 포크를 사용한다.,Americans use forks instead of chopsticks.
예전 대통령들 중에서 제일 좋아하는 사람은 누구야?,Who was your favorite past president?
어느 대학 가고 싶어?,Which university do you want to go to?
내 여자 친구는 나보다 네 살 어린 대학생이야.,My girlfriend is an undergraduate who is four years younger than me.
"오랜 대화 끝에, 그들은 헤어지기로 결정했다.","After a long talk, they decided to break up."
여기가 우리 선생님 댁이야.,This is my teacher's house.
더 할 말 있으세요?,Do you have anything more to say?
그는 할 수 있는 한 멀리 공을 던졌다.,He threw the ball as far as he could.
한국은 여름에 굉장히 더워요.,Korea is very hot in the summer.
책을 도서관에 반납하세요.,You should return those books to the library.
나는 도시에서 운전하는 걸 좋아하지 않는다.,I don't like driving in the city.
도움이 필요해요.,I need your help.
기차가 곧 도착할 거야.,The train will be arriving shortly.
돈 주세요.,Give me the money.
코너에서 오른쪽으로 도세요.,Turn right at the corner.
아이들이 팽이를 돌리면서 놀고 있다.,Children are playing by spinning a top.
"길을 잃어서, 우리는 왔던 길로 돌아가야 했다.","Because we were lost, we had to go back the way we came."
아빠는 언제 돌아와?,When is Dad coming back?
도와주세요!,Please help me!
낯선 사람이 우리 동네를 돌아다니고 있었다.,A stranger was wandering through our village.
그는 우연히 알려지지 않은 동물을 발견했다.,He accidently found an unknown animal.
나는 동생과 사이가 안 좋아요.,I am not on good terms with my younger brother(sister).
내가 없는 동안 잘 지내.,Take care while I'm gone.
우리 집의 창문은 동쪽으로 향해 있다.,The window of our house faces east.
한국 사람들은 돼지꿈이 행운이 있다고 믿어요.,Koreans believe that dreams about pigs are the luckiest.
포도주는 소고기나 돼지고기와 잘 어울립니다.,Wine goes best with beef or pork.
부모님은 내가 의사가 되길 바라셨죠.,My parents wanted me to become a doctor.
책상 위에 두세요.,Put it on the desk.
뒤에서는 그가 누구인지 알 수 없었다.,From the back I couldn't tell who he was.
부모님께 용돈은 드리세요?,Do you give pocket money to your parents?
내 말 좀 들어 봐.,"Please, listen to me."
그 일을 마치는 데 시간이 많이 들었어요.,It took me a lot of time to finish the work.
손 들어!,Raise your hand!
"이상하게 들릴지도 모르지만, 내가 한 말은 사실입니다.","Strange as it may sound, what I said was true."
들어가지 마시오!,Do not enter!
안으로 들어오세요.,Please come in. 
아기를 등에 업어라.,Carry the baby on your back.
어제는 등산하기에 좋은 날씨였다.,Yesterday's weather was good for climbing.
오늘 날씨 따뜻하네요.,It is warm today.
남편은 딸을 갖고 싶어해요.,My husband wants to have a daughter.
이 치약은 딸기 맛이 난다.,This toothpaste is strawberry-flavored.
이 땅 누구 거야?,Who does this land belong to?
그녀는 그를 처음 만났을 때부터 그를 좋아했다고 말했다.,She said she liked him the first time she met him.
다 너 때문이야.,It's all because of you.
언제 떠나?,When are you leaving?
좋은 생각이 떠올랐다.,A good idea occurred to me.
이 떡 먹어봤니? 맛있어.,Have you ever tried this rice cake? It's delicious.
학교에 또 늦은 거야?,Were you late for school again?
나는 그와 똑같은 mp3 플레이어를 샀다.,I bought the same MP3 player as his.
똑바로 서서 똑바로 말해 봐.,Stand straight and speak clearly.
운동장에서 뛰고 있는 저 여자 애 말이야?,You mean the girl running on the playground?
뜨거운 물 좀 주세요.,Please give me some hot water.
이 단어 뜻 알아?,Do you know this word's meaning?
라디오를 켜라.,Turn the radio on.
라면 한 그릇 어때?,How about a bowl of ramen?
내년에 발레 배우러 러시아에 갈 거야.,I am going to Russia to learn ballet next year.
고기 몇 마리 잡았어?,How many fishes did you catch?
마실 것 좀 드릴까요?,Can I get you something to drink?
바다에 도착하면 마음이 바뀔지도 몰라.,You may change your mind when you get to the sea.
이번 달 마지막 날이야.,It's the last day of this month.
이 일을 마치는 데 3일이 걸릴 거야.,It will take three days to finish this work.
길을 막고 거기 서 있지 마라.,Don't stand there blocking the gateway.
언제 만날까?,When would you like to meet?
나는 밸런타인데이 선물을 직접 만들려고 생각 중이야.,I am thinking about making a Valentine's day present myself.
우리는 공통점이 많다.,We have much in common.
운동 많이 하세요?,Do you work out a lot?
에쿠우스는 라틴어로 말이라는 뜻이다.,Equus means horse in Latin.
그렇게 말하지 마.,Don't say that.
걱정 말고 좀 쉬어.,Stop worrying and take a break.
진작 말씀하시지 그러셨어요.,You should have said it earlier.
물과 공기가 맑은 곳이 살기 좋다.,It is good to live where the water and air are clear.
맛이 어때?,How's the taste?
라면을 너무 오래 두면 맛없어.,"If you let the ramen sit for too long, it tastes bad."
정말 맛있네요!,How delicious!
3번이 맞다.,The correct answer is number 3.
한국 시간에 시계 맞췄어?,Did you adjust the clock to Korean time?
나는 두 문제 맞혔어.,I guessed two questions correctly.
내가 이 일을 맡을게.,I'll take care of this job.
매우 추워요.,It's very cold.
나는 매일 아침을 먹는다.,I have breakfast everyday.
저는 맥주 마실래요.,I'll have a beer.
맵고 짠 음식은 몸에 좋지 않아요.,Spicy and salty foods are not good for the body.
머리를 부딪친 후로 머리가 자꾸 빠져요.,My hair has been falling out since I got hit on the head.
더 이상 못 먹겠어.,I can't eat anymore.
먼저 가.,Go first.
여기서 멀지 않아.,It's not far from here.
괜찮아. 그 사람 멀리 있어서 내 말 못 들을 거야.,No problem. She can't hear me because she's far away.
여기 메뉴가 있습니다.,Here's the menu.
"그 사람 며칠에 떠났는지 아세요? - 글쎄요, 며칠 전인 것 같은데요.","Do you know when he left here? - Well, I think a few days ago."
여자가 두 명 있어요.,There are two girls there.
몇 가지 질문이 있는데요. 몇 살이세요? 형제는 몇이세요?,I have several questions. How old are you? How many brothers do you have?
이 시간이 모두 함께 모일 수 있는 좋은 기회야.,This time is a good chance to get all together.
모든 직원들이 다 알아요.,Every employee knows about it.
그 사람이 나를 모르는 게 분명했다.,It was clear that he did not know me.
그의 모습은 어둠 속으로 사라졌다.,His figure disappeared into the darkness.
이 물건들은 모양이 다르다.,These products are different in shape.
언제부터 동전을 모았어요?,How long have you collected coins?
아이들이 놀이터에 모였다.,The children gathered on the playground.
그 모임 참석할 거야?,Will you attend the meeting?
모자를 쓰고 있나요?,Is she wearing a cap?
그 사람은 교통사고를 당해서 목에 깁스를 했다.,He was involved in a car accident and now his neck is in a cast.
나는 그녀의 아름다운 목소리를 잊을 수 없다.,I can’t forget her beautiful voice.
우리 아이들은 목욕하는 걸 좋아해.,My kids like taking a bath.
방문 목적이 무엇입니까?,What is the purpose of your visit?
"몸은 여기 있어도, 마음은 다른 곳에 있구나.","Though present in body, your mind is elsewhere."
"혜안은 요즘 밥도 못 먹고, 잠도 못 자.",Hyean can not eat or sleep these days.
나는 노래를 잘 못해요.,I am poor at singing.
이 가방 정말 무겁다.,This bag is so heavy.
무서운 영화 봤어요? 하나도 안 무서웠어요.,"Have you seen Scary Movie""? I was not scared at all.""""ave you seen ""Scary Movie""? I was not """"ve you seen ""Scary Movie""""e you seen """
무슨 일을 하세요?,What kind of work do you do?
